"variable" "relative_importance" "scaled_importance" "percentage"
"38" "ABCC8" 0.968671798706055 0.968671798706055 0.00208709794852977
"39" "SOCS5" 0.967770874500275 0.967770874500275 0.00208515681938347
"40" "ANGPT1" 0.96775084733963 0.96775084733963 0.00208511366891088
"41" "ANXA10" 0.967644214630127 0.967644214630127 0.00208488391832916
"42" "S100B" 0.967448949813843 0.967448949813843 0.00208446320122143
"43" "ENTPD3" 0.966698050498962 0.966698050498962 0.00208284531534746
"44" "LPAR3" 0.966563403606415 0.966563403606415 0.00208255520547373
"45" "CLCA4" 0.966256141662598 0.966256141662598 0.00208189317962198
"46" "C3AR1" 0.966248035430908 0.966248035430908 0.00208187571395451
"47" "CASR" 0.965945601463318 0.965945601463318 0.00208122409044883
"48" "CA2" 0.965719282627106 0.965719282627106 0.00208073646442379
"49" "MCOLN3" 0.965594470500946 0.965594470500946 0.00208046754451427
"50" "G0S2" 0.965488374233246 0.965488374233246 0.00208023894974878
"51" "PDE12" 0.965358138084412 0.965358138084412 0.00207995834325294
"52" "SLC15A2" 0.964937686920166 0.964937686920166 0.00207905244017666
"53" "GPR65" 0.96482241153717 0.96482241153717 0.00207880406811123
"54" "RELN" 0.964383125305176 0.964383125305176 0.00207785758304287
"55" "TAC1" 0.963850796222687 0.963850796222687 0.00207671062807062
"56" "SPINK1" 0.963740766048431 0.963740766048431 0.00207647355731944
"57" "SCTR" 0.963614583015442 0.963614583015442 0.00207620168365734
"58" "ANKRD28" 0.963450968265533 0.963450968265533 0.00207584915970719
"59" "HMGCS2" 0.963442325592041 0.963442325592041 0.00207583053822348
"60" "HOOK1" 0.962657272815704 0.962657272815704 0.00207413906538287
"61" "MATN3" 0.962211489677429 0.962211489677429 0.00207317858209572
"62" "PPY" 0.962011814117432 0.962011814117432 0.00207274836161011
"63" "GFRA1" 0.961985409259796 0.961985409259796 0.00207269146976678
"64" "CYP27A1" 0.961955904960632 0.961955904960632 0.00207262789987413
"65" "ABCB1" 0.961859405040741 0.961859405040741 0.00207241998137676
"66" "GJA1" 0.961335301399231 0.961335301399231 0.00207129074892003
"67" "AKIRIN1" 0.96086722612381 0.96086722612381 0.00207028223504733
